MID;TITLE;YEAR;GENRES
641;Artificial Intelligence: AI;2001;Drama,Adventure,Sci_Fi,
2130;Astérix & Obélix: Au service de sa Majesté;2012;Comedy,Adventure,Family,
718;Astérix & Obélix: Mission Cléopâtre;2002;Comedy,Adventure,Family,Fantasy,
1437;Astérix aux jeux olympiques;2008;Comedy,Adventure,Family,Fantasy,
2577;Astérix: Le domaine des dieux;2014;Comedy,Animation,Adventure,Family,
1566;Atonement;2007;Drama,War,Romance,Mystery,
1956;August: Osage County;2013;Drama,
861;Austin Powers in Goldmember;2002;Comedy,Sci_Fi,Action,Crime,
1411;Australia;2008;Drama,War,Adventure,Romance,
557;Autumn in New York;2000;Drama,
1542;Avatar;2009;Adventure,Sci_Fi,Action,Fantasy,
2436;Avengers: Age of Ultron;2015;Adventure,Sci_Fi,Action,
638;Awake;2007;Mystery,Thriller,Crime,
1524;Away from Her;2006;Drama,
2380;Baadshah;2013;Comedy,Action,
1077;Babylon A.D.;2008;Adventure,Sci_Fi,Action,Thriller,
2296;Bachelorette;2012;Comedy,Romance,
553;Bad Boys II;2003;Comedy,Action,Thriller,Crime,
819;Bad Company;2002;Comedy,Adventure,Action,Thriller,
1247;Bad News Bears;2005;Comedy,Family,Sport,
898;Bad Santa;2003;Comedy,Drama,Crime,
1929;Bad Teacher;2011;Comedy,
658;Bandits;2001;Comedy,Drama,Romance,Crime,
885;Barbershop;2002;Comedy,Drama,
997;Barbershop 2: Back in Business;2004;Comedy,Drama,
2344;Barfi!;2012;Comedy,Drama,Adventure,Romance,
759;Basic;2003;Drama,Action,Mystery,Thriller,Crime,
1325;Basic Instinct 2;2006;Drama,Mystery,Thriller,
1116;Batman Begins;2005;Adventure,Action,Fantasy,Thriller,Crime,
1879;Battle Los Angeles;2011;Sci_Fi,Action,
2083;Battle of the Year;2013;Music,
582;Battlefield Earth;2000;Adventure,Sci_Fi,Action,
1140;Be Cool;2005;Comedy,Music,Crime,
1828;Beastly;2011;Drama,Romance,Fantasy,
2360;Beasts of the Southern Wild;2012;Drama,Fantasy,
2096;Beautiful Creatures;2013;Drama,Romance,Fantasy,
1276;Becoming Jane;2007;Drama,Biography,Romance,
669;Bedazzled;2000;Comedy,Romance,Fantasy,
1692;Bedtime Stories;2008;Comedy,Family,Romance,Fantasy,
1186;Bee Movie;2007;Comedy,Animation,Adventure,Family,
1177;Bee Season;2005;Drama,
1508;Beerfest;2006;Comedy,
2381;Before Midnight;2013;Drama,Romance,
2082;Beginners;2010;Comedy,Drama,Romance,
512;Behind Enemy Lines;2001;Drama,War,Action,Thriller,
2440;Belle;2013;Drama,Romance,
2416;Belyy tigr;2012;War,Adventure,Action,Fantasy,
838;Bend It Like Beckham;2002;Comedy,Drama,Romance,Sport,
2017;Beneath Hill 60;2010;Drama,History,War,
2242;Beneath the Darkness;2011;Horror,Thriller,
818;Better Luck Tomorrow;2002;Drama,Romance,Crime,
1729;Beverly Hills Chihuahua;2008;Comedy,Drama,Adventure,Family,Romance,
1128;Bewitched;2005;Comedy,Romance,Fantasy,
1069;Beyond the Sea;2004;Drama,Biography,Musical,Music,
1767;Bienvenue chez les Ch'tis;2008;Comedy,Romance,
943;Big Fish;2003;Drama,Adventure,Fantasy,
2396;Big Hero 6;2014;Comedy,Animation,Adventure,Sci_Fi,Family,Action,
625;Big Momma's House;2000;Comedy,Action,Crime,
1297;Big Momma's House 2;2006;Comedy,Crime,
2052;Big Mommas: Like Father, Like Son;2011;Comedy,Action,Crime,
1671;Billa;2007;Action,Romance,Thriller,
715;Billy Elliot;2000;Comedy,Drama,Music,
1000;Birth;2004;Drama,Romance,Mystery,Thriller,
764;Black Hawk Down;2001;Drama,History,War,Thriller,
1429;Black Snake Moan;2006;Drama,Music,
1683;Black Swan;2010;Drama,Thriller,
1052;Blade: Trinity;2004;Horror,Adventure,Sci_Fi,Action,Fantasy,Thriller,
1370;Blades of Glory;2007;Comedy,Sport,
1785;Blended;2014;Comedy,Romance,
1651;Blonde Ambition;2007;Comedy,Romance,
1661;Blonde and Blonder;2007;Comedy,Crime,
1384;Blood Diamond;2006;Drama,Adventure,Thriller,
1159;BloodRayne;2005;Horror,Adventure,Action,Fantasy,
661;Blow;2001;Drama,Biography,Crime,
876;Blue Crush;2002;Drama,Romance,Sport,
2421;Blue Jasmine;2013;Drama,Romance,
1803;Blue Valentine;2010;Drama,Romance,
1505;Bo bui gai wak;2006;Comedy,Drama,Action,
833;Boat Trip;2002;Comedy,
899;Bobby;2006;Drama,History,
1548;Body of Lies;2008;Drama,Action,Thriller,
1206;Bolt;2008;Comedy,Animation,Adventure,Family,
1488;Bon Cop, Bad Cop;2006;Comedy,Action,Thriller,Crime,
1048;Boogeyman;2005;Drama,Horror,Mystery,Thriller,
667;Book of Shadows: Blair Witch 2;2000;Horror,Adventure,Mystery,Thriller,
1359;Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;2006;Comedy,
1371;Bordertown;2006;Drama,Mystery,Thriller,Crime,
909;Bowling for Columbine;2002;Documentary,
616;Boys and Girls;2000;Comedy,Drama,Romance,
1877;Brave;2012;Comedy,Animation,Adventure,Family,Fantasy,
1663;Bride Wars;2009;Comedy,Romance,
2573;Bridge of Spies;2015;Drama,History,Biography,Thriller,
1210;Bridge to Terabithia;2007;Drama,Adventure,Family,Fantasy,
697;Bridget Jones's Diary;2001;Comedy,Drama,Romance,
930;Bridget Jones: The Edge of Reason;2004;Comedy,Drama,Romance,
618;Bring It On;2000;Comedy,Sport,
892;Bringing Down the House;2003;Comedy,
1183;Brokeback Mountain;2005;Drama,Romance,
1258;Broken Flowers;2005;Comedy,Drama,Romance,Mystery,
2448;Bronies: The Extremely Unexpected Adult Fans of My Little Pony;2012;Documentary,
975;Brother Bear;2003;Comedy,Animation,Adventure,Family,Fantasy,
926;Bruce Almighty;2003;Comedy,Drama,Fantasy,
1654;Brüno;2009;Comedy,
706;Bulletproof Monk;2003;Comedy,Action,Fantasy,
2049;Buried;2010;Drama,Romance,Mystery,Thriller,
1951;Burke and Hare;2010;Comedy,Thriller,
1652;Burn After Reading;2008;Comedy,Drama,Crime,
1520;Butterfly on a Wheel;2007;Drama,Thriller,Crime,
2557;Byeon-ho-in;2013;Drama,
886;Cabin Fever;2002;Comedy,Horror,
1001;Calendar Girls;2003;Comedy,Drama,
1423;Captain America: The First Avenger;2011;Adventure,Sci_Fi,Action,
2275;Captain America: The Winter Soldier;2014;Adventure,Sci_Fi,Action,
683;Captain Corelli's Mandolin;2001;Drama,War,Romance,Music,
2085;Captain Phillips;2013;Drama,Biography,Thriller,
2207;Carnage;2011;Comedy,Drama,Horror,Action,
2303;Carrie;2013;Drama,Horror,
1875;Cars 2;2011;Comedy,Animation,Adventure,Family,Sport,
1150;Casino Royale;2006;Adventure,Action,Thriller,
522;Cast Away;2000;Drama,Adventure,
760;Catch Me If You Can;2002;Drama,Biography,Crime,
686;Cats & Dogs;2001;Comedy,Family,Action,Fantasy,
1931;Cats & Dogs: The Revenge of Kitty Galore;2010;Comedy,Family,Action,Fantasy,
967;Catwoman;2004;Action,
1903;Celda 211;2009;Drama,Action,Thriller,
1002;Cellular;2004;Drama,Action,Thriller,Crime,
1732;Centurion;2010;Drama,History,War,Adventure,Action,Thriller,
1604;Changeling;2008;Drama,History,Mystery,Thriller,
761;Changing Lanes;2002;Drama,Thriller,
2267;Chappie;2015;Sci_Fi,Action,Thriller,Crime,
2030;Charlie St. Cloud;2010;Drama,Romance,Fantasy,
1464;Charlie Wilson's War;2007;Comedy,Drama,History,Biography,
514;Charlie's Angels;2000;Comedy,Adventure,Action,Thriller,Crime,
891;Charlie's Angels: Full Throttle;2003;Comedy,Adventure,Action,Crime,
2388;Chashme Baddoor;2013;Comedy,Drama,
1225;Chasing Ghosts;2005;Drama,Mystery,Thriller,Crime,
1031;Cheaper by the Dozen;2003;Comedy,Family,
1391;Cheaper by the Dozen 2;2005;Comedy,Adventure,Family,
2501;Chef;2014;Comedy,Drama,Adventure,
2326;Chernobyl Diaries;2012;Horror,Mystery,Thriller,
1311;Chi bi;2008;Drama,History,War,Adventure,Action,
1962;Chi bi Part II: Jue zhan tian xia;2009;Drama,History,War,Action,
872;Chicago;2002;Comedy,Musical,Crime,
1901;Chico & Rita;2010;Animation,Romance,Music,
1728;Child 44;2015;Drama,Thriller,
623;Children of Men;2006;Drama,Sci_Fi,Thriller,
691;Chocolat;2000;Drama,Romance,
1737;Choke;2008;Comedy,Drama,
1181;Christmas with the Kranks;2004;Comedy,Family,
2214;Chronicle;2012;Drama,Sci_Fi,Thriller,
932;Cidade de Deus;2002;Drama,Crime,
1039;Cinderella Man;2005;Drama,Biography,Sport,
1701;City of Ember;2008;Adventure,Sci_Fi,Family,Fantasy,
1187;Click;2006;Comedy,Drama,Romance,Fantasy,
1981;Cloud Atlas;2012;Drama,Sci_Fi,
2325;Cloudy with a Chance of Meatballs 2;2013;Comedy,Animation,Family,Fantasy,
1766;Cloverfield;2008;Horror,Adventure,Sci_Fi,
513;Cold Mountain;2003;Drama,History,War,Romance,
1102;Collateral;2004;Drama,Thriller,Crime,
674;Collateral Damage;2002;Drama,Action,Thriller,
2187;Colombiana;2011;Drama,Action,Thriller,Crime,
1596;Conan the Barbarian;2011;Adventure,Action,Fantasy,
1059;Confessions of a Teenage Drama Queen;2004;Comedy,Family,Romance,Music,
910;Confidence;2003;Thriller,Crime,
2131;Contagion;2011;Drama,Sci_Fi,Thriller,
2079;Contraband;2012;Drama,Action,Thriller,Crime,
1294;Control;2007;Drama,Biography,Music,
1339;Conversations with Other Women;2005;Comedy,Drama,Romance,
1985;Cop Out;2010;Comedy,Action,Crime,
428;Corpse Bride;2005;Animation,Romance,Musical,Fantasy,
2058;Cosmopolis;2012;Drama,Thriller,
2095;Country Strong;2010;Drama,Music,
1781;Couples Retreat;2009;Comedy,
1252;Cowboys & Aliens;2011;Sci_Fi,Action,Thriller,Western,
611;Coyote Ugly;2000;Comedy,Drama,Romance,Music,
895;Cradle 2 the Grave;2003;Drama,Action,Thriller,Crime,
1804;Crank: High Voltage;2009;Action,Thriller,Crime,
2110;Crazy, Stupid, Love.;2011;Comedy,Drama,Romance,
1193;Crimen ferpecto;2004;Comedy,Thriller,Crime,
671;Crocodile Dundee in Los Angeles;2001;Comedy,Adventure,
1162;Cry_Wolf;2005;Drama,Horror,Mystery,Thriller,
515;D-Tox;2002;Horror,Mystery,Thriller,Crime,
1118;D-War;2007;Drama,Horror,Action,Fantasy,Thriller,
2154;Dabangg;2010;Comedy,Action,Romance,Thriller,Crime,
933;Daddy Day Care;2003;Comedy,Family,
1570;Dallas Buyers Club;2013;Drama,Biography,
1493;Dan in Real Life;2007;Comedy,Drama,Romance,
548;Dancer in the Dark;2000;Drama,Musical,Crime,
842;Daredevil;2003;Sci_Fi,Action,Fantasy,Thriller,Crime,
2438;Dark Places;2015;Drama,Mystery,Thriller,
1778;Dark Shadows;2012;Comedy,Short,Drama,Horror,
1154;Dark Water;2005;Drama,Horror,Thriller,
797;Darkness;2002;Horror,
826;Darkness Falls;2003;Horror,Mystery,Thriller,
1228;Das Leben der Anderen;2006;Drama,Thriller,
1489;Dasavatharam;2008;Drama,Adventure,Action,Thriller,
1452;Date Movie;2006;Comedy,Romance,
1927;Date Night;2010;Comedy,Adult,Romance,Thriller,Crime,
1070;Dawn of the Dead;2004;Horror,Sci_Fi,Action,Thriller,
2352;Dawn of the Planet of the Apes;2014;Drama,Sci_Fi,Action,Thriller,
1514;Day of the Dead;2008;Horror,Action,
1334;Daybreakers;2009;Horror,Sci_Fi,Action,Thriller,
2341;De rouille et d'os;2012;Drama,Romance,
1410;Dead Silence;2007;Horror,Mystery,Thriller,
1392;Death Race;2008;Sci_Fi,Action,Thriller,
1631;Death of a President;2006;Drama,Mystery,Thriller,Crime,
1398;Deja Vu;2006;Sci_Fi,Action,Thriller,
2432;Deliver Us from Evil;2014;Horror,Mystery,Thriller,
2435;Delivery Man;2013;Comedy,Drama,
2278;Den skaldede frisør;2012;Comedy,Romance,
1068;Der Untergang;2004;Drama,War,Biography,
2205;Despicable Me 2;2013;Comedy,Animation,Family,
2483;Deux jours, une nuit;2014;Drama,
1948;Devil;2010;Drama,Horror,Mystery,Thriller,
1298;Dhoom;2004;Adventure,Action,Thriller,
1351;Dhoom:2;2006;Action,Thriller,
1805;Di Renjie: Tong tian di guo;2010;Drama,Adventure,Action,Fantasy,Mystery,
1299;Diary of a Mad Black Woman;2005;Comedy,Drama,Romance,
