ID	Title	Year	Budget	Rating	Votes	Actor_Minor_0	Actor_Minor_1	Actor_Minor_2	Actor_Top_0	Actor_Top_1	Actor_Top_2	Actor_Low_0	Actor_Low_1	Actor_Low_2	Director_Low_0	Director_Low_1	Director_Low_2	Director_Top_0	Director_Top_1	Director_Top_2	Comedy	Short	Drama	Animation	News	History	War	Horror	Adventure	Sci_Fi	Biography	Documentary	Family	Action	Adult	Romance	Musical	Sport	Fantasy	Mystery	Thriller	Music	Crime	Western
3357	102 Dalmatians (2000)	2000	85000000.0	4.8	24616	9	11	23	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3461	10th & Wolf (2006)	2006	8000000.0	6.4	5452	10	40	10	0	6	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
3547	11'09''01 - September 11 (2002)	2002	0.0	7.0	4737	3	54	1	0	0	0	0	0	0	5	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3552	11-11-11 (2011)	2011	0.0	4.0	10821	1	31	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
3566	11.6 (2013)	2013	0.0	5.8	1422	8	37	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3683	11:11 (2004)	2004	0.0	3.7	1162	2	17	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3692	11:14 (2003)	2003	6000000.0	7.2	36686	7	1	0	0	3	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3740	12 (2007)	2007	4000000.0	7.8	11085	5	28	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
3752	12 and Holding (2005)	2005	400000.0	7.6	6020	5	17	3	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3877	12 Rounds (2009)	2009	22000000.0	5.6	21683	40	33	14	0	1	0	5	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
3880	12 Rounds 3: Lockdown (2015)	2015	0.0	5.5	1112	8	13	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
3921	12 Years a Slave (2013)	2013	20000000.0	8.1	379559	33	0	31	1	25	2	7	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3943	12/12/12 (2012)	2012	0.0	1.7	1149	2	36	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3953	120 (2008)	2008	3000000.0	7.2	3366	0	20	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4012	127 Hours (2010)	2010	18000000.0	7.6	259969	3	9	23	2	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
4080	13 (2010/I)	2010	0.0	6.1	32976	21	51	11	4	6	1	2	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4115	13 Eerie (2013)	2013	0.0	4.5	1857	6	5	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4124	13 game sayawng (2006)	2006	0.0	6.8	4473	0	96	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
4132	13 Going on 30 (2004)	2004	37000000.0	6.1	111956	21	28	29	0	5	0	2	1	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
4169	13 Moons (2002)	2002	2000000.0	5.8	1060	10	22	3	1	1	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4196	13 Semester (2009)	2009	0.0	6.8	1505	3	51	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4198	13 Sins (2014)	2014	4000000.0	6.3	20472	32	29	1	0	13	0	9	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
4212	13 Tzameti (2005)	2005	0.0	7.4	14354	6	121	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
4230	13/13/13 (2013)	2013	0.0	4.1	1910	6	30	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4289	13B: Fear Has a New Address (2009)	2009	0.0	6.9	2660	8	5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
4291	13Hrs (2010)	2010	0.0	4.4	2371	1	9	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4417	1408 (2007)	2007	25000000.0	6.8	198203	11	18	9	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4544	15 Minutes (2001)	2001	42000000.0	6.1	41059	16	48	14	0	5	0	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
4687	16 Blocks (2006)	2006	52000000.0	6.6	109050	20	18	49	2	3	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0
4728	16 Years of Alcohol (2003)	2003	0.0	6.3	1477	7	27	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4734	16-Love (2012)	2012	0.0	5.7	1254	4	247	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
4753	1612: Khroniki smutnogo vremeni (2007)	2007	12000000.0	5.7	1710	2	13	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
