MID;TITLE;YEAR
242;Eye for an Eye;1996
243;Fargo;1996
244;The First Wives Club;1996
245;Fled;1996
246;The Frighteners;1996
247;From Dusk Till Dawn;1996
248;The Ghost and the Darkness;1996
249;The Glimmer Man;1996
250;The Hunchback of Notre Dame;1996
251;Independence Day;1996
252;Indian;1996
253;The Island of Dr. Moreau;1996
254;Jerry Maguire;1996
255;Jingle All the Way;1996
256;The Juror;1996
257;Kansas City;1996
258;Kingpin;1996
259;Last Man Standing;1996
260;The Long Kiss Goodnight;1996
261;Mars Attacks!;1996
262;Mary Reilly;1996
263;Maximum Risk;1996
264;Michael Collins;1996
265;The Mirror Has Two Faces;1996
266;Mission: Impossible;1996
267;Mosura;1996
268;Multiplicity;1996
269;The Nutty Professor;1996
270;Phenomenon;1996
271;Primal Fear;1996
272;The Quest;1996
273;Ransom;1996
274;The Rock;1996
275;Romeo + Juliet;1996
276;Scream;1996
277;Sleepers;1996
278;Space Jam;1996
279;Star Trek: First Contact;1996
280;Striptease;1996
281;That Thing You Do!;1996
282;A Time to Kill;1996
283;Tin Cup;1996
284;Twister;1996
285;Up Close & Personal;1996
286;Air Force One;1997
287;Alien: Resurrection;1997
288;Glitter;2001
289;Amistad;1997
290;Anaconda;1997
291;Anastasia;1997
292;Austin Powers: International Man of Mystery;1997
293;The Avengers;1998
294;Baby Geniuses;1999
295;Batman & Robin;1997
296;Bean;1997
297;The Big Lebowski;1998
298;Blues Brothers 2000;1998
299;Boogie Nights;1997
300;The Borrowers;1997
301;La vita è bella;1997
302;Con Air;1997
303;Conspiracy Theory;1997
304;Contact;1997
305;Cop Land;1997
306;Dante's Peak;1997
307;Dark City;1998
308;The Devil's Advocate;1997
309;The Devil's Own;1997
310;Doctor Dolittle;1998
311;Donnie Brasco;1997
312;Double Team;1997
313;Event Horizon;1997
314;Face/Off;1997
315;Fathers' Day;1997
316;The Fifth Element;1997
317;Fire Down Below;1997
318;Flubber;1997
319;The Full Monty;1997
320;G.I. Jane;1997
321;The Game;1997
322;Gattaca;1997
323;George of the Jungle;1997
324;Good Will Hunting;1997
325;Great Expectations;1998
326;Hercules;1997
327;Home Alone 3;1997
328;Hope Floats;1998
329;The Horse Whisperer;1998
330;I Know What You Did Last Summer;1997
331;In & Out;1997
332;The Jackal;1997
333;Jackie Brown;1997
334;Kiss the Girls;1997
335;L.A. Confidential;1997
336;Liar Liar;1997
337;A Life Less Ordinary;1997
338;Little Ghost;1997
339;The Lost World: Jurassic Park;1997
340;Meet Joe Black;1998
341;Men in Black;1997
342;Mononoke-hime;1997
343;Mortal Kombat: Annihilation;1997
344;Mousehunt;1997
345;Mr. Magoo;1997
346;My Best Friend's Wedding;1997
347;Nothing to Lose;1997
348;As Good as It Gets;1997
349;One Night Stand;1997
350;Paradise Road;1997
351;The Peacemaker;1997
352;Picture Perfect;1997
353;Red Corner;1997
354;The Replacement Killers;1998
355;The Saint;1997
356;Scream 2;1997
357;Seven Years in Tibet;1997
358;Spawn;1997
359;Speed 2: Cruise Control;1997
360;Sphere;1998
361;Spice World;1997
362;Three Kings;1999
363;Starship Troopers;1997
364;Titanic;1997
365;Tomorrow Never Dies;1997
366;Toy Story 2;1999
367;The Truman Show;1998
368;Up 'n' Under;1998
369;Virus;1999
370;Volcano;1997
371;The Waterboy;1998
372;American History X;1998
373;Antz;1998
374;Armageddon;1998
375;Babe: Pig in the City;1998
376;The Bachelor;1999
377;Blade;1998
378;The Mummy;1999
379;A Bug's Life;1998
380;Chicken Run;2000
381;EverAfter;1998
382;City of Angels;1998
383;The Deep End of the Ocean;1999
384;Deep Impact;1998
385;The 13th Warrior;1999
386;Enemy of the State;1998
387;Eyes Wide Shut;1999
388;Frida;2002
389;From Hell;2001
390;Stepmom;1998
391;The Green Mile;1999
392;Hard Rain;1998
