Name;Year;Oscar
Savidge, S. Leigh;2015;
Sayles, John;1992;
Sayles, John;1996;
Schisgal, Murray;1982;
Schulman, Tom;1989;OscarW
Seidler, David;2010;OscarW
Shadie, Ken;1986;
Shanley, John Patrick;1987;OscarW
Shelton, Ron;1988;
Sheridan, Jim;2003;
Sheridan, Naomi;2003;
Sheridan, Kirsten;2003;
Shyamalan, M. Night;1999;
Shyer, Charles;1980;
Silver, Scott;2010;
Singer, Eric Warren;2013;
Singer, Josh;2015;OscarW
Singleton, John;1991;
Soderbergh, Steven;1989;
Sokolow, Alec;1995;
Spielberg, Anne;1988;
Stanton, Andrew;1995;
Stanton, Andrew;2003;
Stanton, Andrew;2008;
Stewart, Douglas Day;1982;
Stillman, Whit;1990;
Stone, Oliver;1986;
Stone, Oliver;1995;
Stoppard, Tom;1985;
Stoppard, Tom;1998;OscarW
Tamasy, Paul;2010;
Tarantino, Quentin;1994;OscarW
Tarantino, Quentin;2009;
Tarantino, Quentin;2012;OscarW
Thomas, Anna;1984;
Toback, James;1991;
Toro, Guillermo del;2006;
Vardalos, Nia;2002;
Wallace, Earl W.;1985;OscarW
Wallace, Pamela;1985;OscarW
Wallace, Randall;1995;
Wallack, Melisa;2013;
Walsh, Frances;1994;
Ward, David S.;1993;
Weir, Peter;1990;
Welland, Colin;1981;OscarW
Wenkus, Alan;2015;
Whedon, Joss;1995;
Wiig, Kristen;2011;
Wilkinson, Christopher;1995;
Wilson, Owen;2001;
Yamashita, Iris;2006;
Zaillian, Steve;2002;
Zemeckis, Robert;1985;
